Alloys,Phase,Tg_K,Tx_K,Tl_K,Rc_mm/s,Dmax_mm
Al20Co20Cr20Cu20Fe20,CMA,791.0,826.0,1253.0,NAN,NAN
Al20Co10Cr20Cu10Fe20Ni20,CMA,794.0,827.0,1250.0,NAN,NAN
Al20Co20Fe20Mn20Ni20,CMA,773.0,809.0,1255.0,NAN,NAN
Al20Cr20Cu20Fe20Ni20,CMA,785.0,820.0,1253.0,NAN,NAN
Al20Cr20Cu20Fe20Ni20,CMA,785.0,820.0,1253.0,NAN,NAN
Al15.4Co15.4Cr30.8Fe15.4Mo7.7Ni15.4,CMA,869.0,999.0,1380.0,NAN,NAN
Al20Co25Fe25Ni25Cr5,CMA,797.0,838.0,1263.0,NAN,NAN
Al23.1Cr19.2Fe28.8Mn19.2Ni9.6,CMA,793.0,848.0,1283.0,NAN,NAN
Al16.67Co16.67Cu16.67Fe16.67Ni16.67Ti16.67,CMA,790.0,845.0,1284.0,NAN,NAN
Al20.83Cr20.83Cu20.83Fe20.83Ni16.67,CMA,776.0,808.0,1249.0,NAN,NAN
Al19.05Co19.05Cr19.05Fe19.05Nb4.76Ni19.05,CMA,796.0,835.0,1259.0,NAN,NAN
Al27.3Cr18.2Fe18.2Mn18.2Ti18.2,CMA,762.0,820.0,1291.0,NAN,NAN
Al19.4Cr16.1Cu16.1Fe16.1Ni32.3,CMA,782.0,811.0,1245.0,NAN,NAN
Al19.2Co19.2Cr19.2Fe19.2Mo3.8Ni19.2,CMA,804.0,848.0,1267.0,NAN,NAN
Al19.23Co19.23Cr19.23Fe19.23Mo3.85Ni19.23,CMA,804.0,848.0,1267.0,NAN,NAN
Al19.99Co26.67Fe26.67Ni26.67,CMA,789.0,831.0,1264.0,NAN,NAN
Al20.0Co26.7Fe26.7Ni26.7,CMA,789.0,831.0,1264.0,NAN,NAN
Al20.63Co15.87Cr15.87Cu15.87Fe15.87Ni15.87,CMA,773.0,803.0,1247.0,NAN,NAN
Al20.6Co15.9Cr15.9Cu15.9Fe15.9Ni15.9,CMA,773.0,803.0,1247.0,NAN,NAN
Al22.2Co22.2Cr22.2Cu11.1Fe22.2,CMA,793.0,825.0,1249.0,NAN,NAN
Al16.67Co16.67Cr16.67Fe25Mo8.34Ni16.67,CMA,842.0,969.0,1381.0,NAN,NAN
Al20Co20Cu20Ni20Mn20,CMA,791.0,844.0,1281.0,NAN,NAN
Al20Co20Cr20Cu20Ni20,CMA,787.0,818.0,1247.0,NAN,NAN
Al20Co20Fe20Ni20Ti20,CMA,792.0,866.0,1311.0,NAN,NAN
Al23.1Co15.4Cr15.4Fe15.4Ni15.4Ti15.4,CMA,778.0,837.0,1291.0,NAN,NAN
Al23.08Co15.38Cr15.38Fe15.38Ni15.38Ti15.38,CMA,778.0,837.0,1291.0,NAN,NAN
Al16.67Co25Cr16.67Fe16.67Mo8.33Ni16.67,CMA,842.0,966.0,1377.0,NAN,NAN
Al20.6Cr15.9Cu15.9Fe15.9Ni31.8,CMA,774.0,809.0,1255.0,NAN,NAN
Al19.35Cr16.13Cu16.13Ni16.13Ni32.26,CMA,788.0,826.0,1258.0,NAN,NAN
Al23.1Co19.2Cr19.2Fe19.2Ni19.2,CMA,794.0,828.0,1251.0,NAN,NAN
Al23.0Co14.8Cr23.0Cu8.2Fe14.8Ni16.4,CMA,793.0,825.0,1249.0,NAN,NAN
Al21.74Cr21.74Cu21.74Fe21.74Ni13.04,CMA,774.0,811.0,1257.0,NAN,NAN
Al18.9Co18.9Cr18.9Fe18.9Mo5.7Ni18.9,CMA,805.0,876.0,1305.0,NAN,NAN
Al16.7Co16.7Cr25.0Fe16.7Mo8.3Ni16.7,CMA,849.0,928.0,1311.0,NAN,NAN
Al20Co20Cu20Fe20Ni20,CMA,800.0,846.0,1269.0,NAN,NAN
Al22.6Co19.3Cr19.3Fe19.3Ni19.3,CMA,795.0,827.0,1249.0,NAN,NAN
Al22.2Cr22.2Cu11.1Fe22.2Ni22.2,CMA,793.0,825.0,1249.0,NAN,NAN
Al19.23Co19.23Cr19.23Fe19.23Ni19.23Si3.85,CMA,796.0,824.0,1243.0,NAN,NAN
Al23.2Co19.2Cr19.2Fe19.2Ni19.2,CMA,794.0,827.0,1251.0,NAN,NAN
Al22.2Co22.2Cr22.2Cu11.1Ni22.2,CMA,792.0,826.0,1251.0,NAN,NAN
Al18.5Co 18.5Cr18.5Fe18.5Mo7.4Ni18.5,CMA,835.0,899.0,1292.0,NAN,NAN
Al23.81Co19.05Cr19.05Fe19.05Ni19.05,CMA,794.0,830.0,1256.0,NAN,NAN
Al22.5Co25.0Fe25.0Ni25.0Cr2.5,CMA,769.0,806.0,1257.0,NAN,NAN
Al18.18Co18.18Cr18.18Fe18.18Nb9.09Ni18.18,CMA,813.0,849.0,1252.0,NAN,NAN
Al25Cr25Fe25Ni25,CMA,794.0,835.0,1263.0,NAN,NAN
Al23.1Co15.4Cr15.4Cu15.4Fe15.4Ni15.4,CMA,773.0,815.0,1266.0,NAN,NAN
Al23.1Cr19.2Cu19.2Fe19.2Ni19.2,CMA,772.0,812.0,1262.0,NAN,NAN
Al23.08Co15.38Cr15.38Cu15.38Fe15.38Ni15.38,CMA,773.0,815.0,1266.0,NAN,NAN
Al15.38Co15.38Cr15.38Cu15.38Ni15.38Ti15.38Y7.69,CMA,779.0,861.0,1327.0,NAN,NAN
Al22.2Co22.2Cu11.1Fe22.2Ni22.2,CMA,791.0,833.0,1287.0,NAN,NAN
Al27.3Cr18.2Fe27.3Mn18.2Ni9.1,CMA,785.0,842.0,1287.0,NAN,NAN
Al23.1Cr15.4Cu15.4Fe15.4Ni30.8,CMA,773.0,816.0,1267.0,NAN,NAN
Al18.52Co18.52Cr18.52Fe18.52Ni18.52Si7.41,CMA,796.0,837.0,1262.0,NAN,NAN
Al24.53Co18.87Cr18.87Cu18.87Fe18.87,CMA,773.0,816.0,1268.0,NAN,NAN
Al33.3Cr16.7Fe16.7Mn16.7Ti16.7,CMA,760.0,816.0,1288.0,NAN,NAN
Al28.57Co14.29Cr14.29Fe14.29Ni14.29Ti14.29,CMA,779.0,841.0,1295.0,NAN,NAN
Al23.81Cr23.81Fe23.81Ni23.81Mo4.76,CMA,795.0,837.0,1263.0,NAN,NAN
Al25.0Co16.7Cr16.7Cu8.3Fe16.7Ni16.7,CMA,774.0,814.0,1261.0,NAN,NAN
Al23.8Cr23.8Fe23.8Mo4.8Ni23.8,CMA,795.0,837.0,1263.0,NAN,NAN
Al17.4Co17.4Cr17.4Fe17.4Nb13.0Ni17.4,CMA,808.0,839.0,1247.0,NAN,NAN
Al16.7Co16.7Cu16.7Fe16.7Ni16.7Zr16.7,CMA,795.0,890.0,1344.0,NAN,NAN
Al26.67Cr26.67Cu26.67Fe20,CMA,772.0,836.0,1299.0,NAN,NAN
Al20Co20Cr10Fe20Mo10Ni20,CMA,809.0,866.0,1283.0,NAN,NAN
Al27.2Co18.2Cr18.2Fe18.2Ni18.2,CMA,783.0,823.0,1261.0,NAN,NAN
Al25Co25Fe25Ni25,CMA,779.0,814.0,1254.0,NAN,NAN
Al14.71Co14.71Cr14.71Cu14.71Ni14.71Ti14.71Y11.76,CMA,771.0,876.0,1364.0,NAN,NAN
Al17.86Co17.86Cr17.86Fe17.86Ni17.86Si10.71,CMA,798.0,855.0,1286.0,NAN,NAN
Al27.27Co18.18Cr18.18Fe18.18Ni18.18,CMA,782.0,822.0,1261.0,NAN,NAN
Al19.61Co19.61Cr19.61Fe11.77Mo9.81Ni19.61,CMA,827.0,875.0,1269.0,NAN,NAN
Al20Co10Cr20Fe20Mo10Ni20,CMA,820.0,874.0,1279.0,NAN,NAN
Al23.8Co4.8Cu23.8Fe23.8Ni23.8,CMA,786.0,839.0,1280.0,NAN,NAN
Al27.27Co18.18Cr18.18Cu18.18Fe18.18,CMA,771.0,821.0,1277.0,NAN,NAN
Al20Co20Cr20Fe10Mo10Ni20,CMA,827.0,876.0,1271.0,NAN,NAN
Al26.47Co14.71Cr14.71Cu14.71Fe14.71Ni14.71,CMA,777.0,821.0,1268.0,NAN,NAN
Al26.5Co14.7Cr14.7Cu14.7Fe14.7Ni14.7,CMA,777.0,824.0,1274.0,NAN,NAN
Al28.57Co14.29Cr14.29Fe14.29Fe14.29Ni14.29,CMA,775.0,834.0,1291.0,NAN,NAN
Al14.29Co14.29Cr14.29Cu14.29Ni14.29Ti14.29Y14.29,CMA,737.0,744.0,1188.0,NAN,NAN
Al27.3Cr18.2Cu18.2Fe18.2Ni18.2,CMA,773.0,824.0,1280.0,NAN,NAN
Al22.22Co22.22Cr22.22Fe22.22Mo11.11,CMA,806.0,837.0,1247.0,NAN,NAN
Al17.24Co17.24Cr17.24Fe17.24Ni17.24Si13.79,CMA,798.0,851.0,1280.0,NAN,NAN
Al25Cu25Fe25Ni25,CMA,787.0,853.0,1300.0,NAN,NAN
Al38.1Cr19.1Fe19.1Mn19.1Ti4.8,CMA,759.0,818.0,1293.0,NAN,NAN
Al22.2Co22.2Fe22.2Mo11.1Ni22.2,CMA,810.0,866.0,1283.0,NAN,NAN
Al28.57Co14.29Cr14.29Cu14.29Fe14.29Ni14.29,CMA,776.0,832.0,1286.0,NAN,NAN
Al28.6Co14.3Cr14.3Cu14.3Fe14.3Ni14.3,CMA,776.0,832.0,1286.0,NAN,NAN
Al16.67Co16.67Cr16.67Fe16.67Ni16.67Si16.67,CMA,793.0,849.0,1284.0,NAN,NAN
Al22.22Cr22.22Fe22.22Ni22.22Mo11.11,CMA,806.0,837.0,1247.0,NAN,NAN
Al22.2Cr22.2Fe22.2Mo11.1Ni22.2,CMA,806.0,837.0,1247.0,NAN,NAN
Al31.2Co17.2Cr17.2Fe17.2Ni17.2,CMA,772.0,828.0,1288.0,NAN,NAN
Al25Co16.67Cr16.67Fe16.67Mo8.34Ni16.67,CMA,784.0,821.0,1256.0,NAN,NAN
Al28.6Cr14.3Cu14.3Fe14.3Ni28.6,CMA,776.0,832.0,1286.0,NAN,NAN
Al31.25Li15.63Mg31.25Sc6.25Zn15.63,CMA,563.0,602.0,1121.0,NAN,NAN
Al30.8Co15.4Cr15.4Cu7.7Fe15.4Ni15.4,CMA,778.0,845.0,1302.0,NAN,NAN
Al31.03Co17.24Cr17.24Cu17.24Fe17.24,CMA,782.0,844.0,1294.0,NAN,NAN
Al55.2Cr13.8Fe13.8Mn13.8Ti3.5,CMA,308.0,471.0,787.0,NAN,NAN
Al48.0Cr16.0Fe16.0Mn16.0Ti4.0,CMA,307.0,462.0,796.0,NAN,NAN
Al33.3Co16.7Cr16.7Fe16.7Ni16.7,CMA,772.0,931.0,1292.0,NAN,NAN
Al31.0Cr17.2Cu17.2Fe17.2Ni17.2,CMA,782.0,843.0,1293.0,NAN,NAN
Al33.33Co16.67Cr16.67Fe16.67Ni16.67,CMA,772.0,831.0,1292.0,NAN,NAN
Al31.5Co13.7Cr13.7Cu13.7Fe13.7Ni13.7,CMA,783.0,855.0,1310.0,NAN,NAN
Al31.51Co13.70Cr13.70Cu13.70Fe13.70Ni13.70,CMA,783.0,855.0,1310.0,NAN,NAN
Al35.5Cr16.1Cu16.1Fe16.1Ni16.1,CMA,782.0,845.0,1297.0,NAN,NAN
Al34.2Co16.5Cr16.5Fe16.5Ni16.5,CMA,773.0,833.0,1292.0,NAN,NAN
Al33.33Co16.67Cr16.67Cu16.67Fe16.67,CMA,784.0,851.0,1304.0,NAN,NAN
Al40.0Ti7.5Co7.5Cr7.5Fe7.5Ni7.5Cu7.5V7.5Mn7.5,CMA,726.0,746.0,1167.0,NAN,NAN
Al33.3Cr16.7Cu16.7Fe16.7Ni16.7,CMA,784.0,851.0,1304.0,NAN,NAN
Al33.3Co13.3Cr13.3Cu13.3Fe13.3Ni13.3,CMA,785.0,852.0,1301.0,NAN,NAN
Al33.33Co13.33Cr13.33Cu13.33Fe13.33Ni13.33,CMA,785.0,852.0,1301.0,NAN,NAN
Al15.38C23.08Co15.38Cr15.38Fe15.38Ni15.38,CMA,794.0,877.0,1326.0,NAN,NAN
Al20.83Cr20.83Fe20.83Ni20.83Mo16.67,CMA,866.0,999.0,1385.0,NAN,NAN
Al20.8Cr20.8Fe20.8Mo16.7Ni20.8,CMA,866.0,999.0,1385.0,NAN,NAN
Al16.67Co16.67Mo16.67Cu16.67Ti16.67Ni16.67,CMA,812.0,879.0,1299.0,NAN,NAN
Al16.67Co16.67Cu16.67Fe16.67Ni16.67Si16.67,CMA,781.0,849.0,1304.0,NAN,NAN
Al20Co20Cu20Fe20Nb20,CMA,815.0,904.0,1332.0,NAN,NAN
Al36.51Co15.87Cr15.87Cu15.87Fe15.87,CMA,779.0,841.0,1297.0,NAN,NAN
Al38.46Co15.38Cr15.38Fe15.38Ni15.38,CMA,776.0,840.0,1298.0,NAN,NAN
Al20Mn20V20Ti20Zr20,CMA,651.0,713.0,1096.0,NAN,NAN
Al20Cr20Mn20Nb20V20,CMA,846.0,927.0,1315.0,NAN,NAN
Al35.90Co12.82Cr12.82Cu12.82Fe12.82Ni12.82,CMA,783.0,849.0,1302.0,NAN,NAN
Al38.46Co15.38Cr15.38Cu15.38Fe15.38,CMA,778.0,848.0,1310.0,NAN,NAN
Al30.77Co15.38Cr15.38Fe15.38Mo7.69Ni15.38,CMA,789.0,832.0,1266.0,NAN,NAN
Al37.5Co12.5Cr12.5Cu12.5Fe12.5Ni12.5,CMA,782.0,853.0,1310.0,NAN,NAN
Al20Cr20Nb20V20V20,CMA,867.0,975.0,1349.0,NAN,NAN
Al42.86Co14.29Cr14.29Fe14.29Ni14.29,CMA,776.0,838.0,1297.0,NAN,NAN
Al38.5Cr15.4Cu 15.4Fe15.4Ni15.4,CMA,779.0,845.0,1300.0,NAN,NAN
Al31.25Cu6.25Li15.63Mg31.25Zn15.63,CMA,568.0,604.0,1129.0,NAN,NAN
Al41.18Co14.71Cr14.71Cu14.71Fe14.71,CMA,779.0,865.0,1333.0,NAN,NAN
Al20.0Cr20.0Nb20.0Ti20.0V20.0,CMA,839.0,864.0,1236.0,NAN,NAN
Al37.5Cr12.5Cu12.5Fe12.5Ni25.0,CMA,782.0,856.0,1313.0,NAN,NAN
Al42.86Co14.29Cr14.29Cu14.29Fe14.29,CMA,287.0,461.0,747.0,NAN,NAN
Al16.67C16.67Co16.67Cr16.67Fe16.67Ni16.67,CMA,795.0,880.0,1328.0,NAN,NAN
Al20Ti20Cu20Y20Mn20,CMA,658.0,732.0,1079.0,NAN,NAN
Al20Cr20Fe20Ni20Mo20,CMA,881.0,1060.0,1444.0,NAN,NAN
Al20Li20Cu10Sc20Ti30,CMA,346.0,464.0,894.0,NAN,NAN
Al20Cr20Ti20Si20Zr20,CMA,613.0,683.0,1077.0,NAN,NAN
Al8.06Nb16.13Cr16.13Cu16.13Ti24.19V3.23Zr16.13,CMA,815.0,864.0,1272.0,NAN,NAN
Al22.2Cr11.1Nb22.2Ti22.2V22.2,CMA,803.0,813.0,1185.0,NAN,NAN
Al20Cr20Mo20Si20Ti20,CMA,848.0,945.0,1337.0,NAN,NAN
Al25Nb25Ti25V25,CMA,805.0,807.0,1203.0,NAN,NAN
Al20Li20Mg10Zn20Ti30,CMA,397.0,495.0,961.0,NAN,NAN
Al21.28Cu10.63Li21.28Ti21.28Mg21.28Sn4.27,CMA,418.0,471.0,1066.0,NAN,NAN
Al16.67Fe16.67Nb16.67Ti16.67Ti16.67Zr16.67,CMA,679.0,712.0,1144.0,NAN,NAN
Al20Cu20Ni20Ti20Sn20,CMA,320.0,461.0,834.0,NAN,NAN
Al6Nb20Ti16Ti28V4Zr26,CMA,740.0,758.0,1229.0,NAN,NAN
Al11.1Nb22.2Ti22.2V22.2Zr22.2,CMA,809.0,821.0,1217.0,NAN,NAN
Al5.88Mo23.53Nb23.53Ti23.53V23.53,CMA,875.0,1047.0,1437.0,NAN,NAN
Al20Cr20Nb20Ti20Zr20,CMA,669.0,713.0,1127.0,NAN,NAN
Al20Nb20Ti20V20Zr20,CMA,758.0,770.0,1219.0,NAN,NAN
Al27.3Nb18.2Ti18.2V18.2Zr18.2,CMA,746.0,747.0,1199.0,NAN,NAN
Al11.11Mo22.22Nb22.22Ti22.22V22.22,CMA,863.0,977.0,1358.0,NAN,NAN
Al15.79Mo21.05Nb21.05V21.05V21.05,CMA,950.0,1135.0,1433.0,NAN,NAN
Al20Cr20Mo20Nb20Ti20,CMA,849.0,952.0,1346.0,NAN,NAN
Al20Cr20Mo20Nb20Ti20,CMA,849.0,952.0,1346.0,NAN,NAN
Al6Nb20Ta16Ti28V4Zr26,CMA,812.0,854.0,1262.0,NAN,NAN
Al25.0Cr25.0Mo25.0Nb25.0,CMA,867.0,1021.0,1412.0,NAN,NAN
Al25.0Mo25.0Nb25.0Ti25.0,CMA,846.0,943.0,1338.0,NAN,NAN
Al20.0Mo10.0Nb20.0Ta10.0Ti20.0Zr20.0,CMA,828.0,894.0,1296.0,NAN,NAN
Al20Cr20Ti20Nb20Ta20,CMA,879.0,992.0,1354.0,NAN,NAN
Al11.11Nb22.22Ta22.22Ti22.22V22.22,CMA,820.0,821.0,1198.0,NAN,NAN
Al5.66Hf18.87Nb18.87Ta18.87Ti18.87Zr18.87,CMA,816.0,845.0,1243.0,NAN,NAN
Al9.09Hf18.18Nb18.18Ta18.18Ti18.18Zr18.18,CMA,826.0,867.0,1260.0,NAN,NAN
Al13.04Hf17.39Nb17.39Ta17.39Ti17.39Zr17.39,CMA,826.0,887.0,1290.0,NAN,NAN
Al13.0Hf17.4Nb17.4Ta17.4Ti17.4Zr17.4,CMA,826.0,887.0,1290.0,NAN,NAN
Al25.0Hf25.0Nb25.0Ti25.0,CMA,793.0,888.0,1344.0,NAN,NAN
Al10Hf15Ta25Ti25Zr25,CMA,803.0,846.0,1264.0,NAN,NAN
Al25.0Hf25.0Ta25.0Ti25.0,CMA,817.0,863.0,1267.0,NAN,NAN
Al25.0Nb25.0Ta25.0Ti25.0,CMA,822.0,835.0,1219.0,NAN,NAN
Al5.88Nb23.53Ta23.53Ti23.53V23.53,CMA,853.0,882.0,1240.0,NAN,NAN
Al10.0Nb20.0Ta16.0Ti30.0V4.0Zr20.0,CMA,806.0,848.0,1262.0,NAN,NAN
Al20.0Nb30.0Ta10.0Ti30.0Zr10.0,CMA,814.0,857.0,1265.0,NAN,NAN
Al8.0Hf12.0Nb20.0Ta20.0Ti20.0Zr20.0,CMA,812.0,845.0,1248.0,NAN,NAN
Ag38.4Mg30.8Ca30.8,MMG,394.0,426.0,805.0,NAN,0.5
Ag38.4Mg38.4Ca23.2,MMG,391.0,425.0,796.0,NAN,1.1
Ag46.2Ca38.4Mg15.3,MMG,407.0,439.0,809.0,NAN,0.3
Ag46.2Ca30.7Mg23.1,MMG,399.0,426.0,765.0,NAN,0.7
Ag46.2Mg30.7Ca23.1,MMG,393.0,427.0,880.0,NAN,0.5
Ag53.8Mg23.1Ca23.1,MMG,451.0,488.0,887.0,NAN,0.7
Ag53.8Ca30.8Mg15.4,MMG,444.0,498.0,812.0,NAN,0.8
Ag61.5Ca23.1Mg15.4,MMG,486.0,526.0,920.0,NAN,0.7
Ag61.5Mg23.1Ca15.4,MMG,440.0,485.0,919.0,NAN,0.5
Ag46.2Mg23.2Ca23Cu7.7,MMG,398.0,430.0,825.0,NAN,2
Ag50Mg11.5Ca30.8Cu7.7,MMG,452.0,487.0,809.0,NAN,1
Ag50Mg19.2Ca23.1Cu7.7,MMG,426.0,466.0,797.0,NAN,1.2
Ag53.8Mg7.7Ca30.5Cu7.7,MMG,428.0,488.0,843.0,NAN,0.3
Ag38.5Mg23Ca30.8Cu7.7,MMG,384.0,416.0,854.0,NAN,2
Ag30.8Mg30.8Ca30.8Cu7.7,MMG,407.0,427.0,809.0,NAN,2
Ag38.5Mg30.8Ca23.1Cu7.7,MMG,387.0,420.0,833.0,NAN,3
Ag38.5Mg38.5Ca15.4Cu7.7,MMG,405.0,436.0,842.0,NAN,0.5
Ag46.2Mg15.4Ca30.5Cu7.7,MMG,414.0,445.0,805.0,NAN,0.8
Ag53.8Mg23.1Ca15.4Cu7.7,MMG,407.0,463.0,877.0,NAN,0.5
Ag53.8Mg15.4Ca23.1Cu7.7,MMG,433.0,463.0,831.0,NAN,0.5
Ag30.8Mg23.1Ca30.8Cu15.4,MMG,413.0,432.0,803.0,NAN,2.5
Au55Cu25Si20,MMG,348.0,383.0,654.0,NAN,0.5
Au46Cu29Si20Ag5,MMG,395.0,420.0,664.0,NAN,NAN
Au46Ag5Cu29Si20,MMG,395.0,420.0,664.0,NAN,1
Au52Cu29.2Si16.5Pd2.3,MMG,393.0,427.0,651.0,NAN,NAN
Au52Pd2.3Cu29.2Si16.5,MMG,393.0,427.0,651.0,NAN,2
Au49Ag5.5Pd2.3Cu26.9Si16.3,MMG,401.0,459.0,644.0,160,5
Ca66.4Al33.6,MMG,527.0,534.0,841.0,NAN,1
Ca63Al32Cu5,MMG,512.0,523.0,831.0,NAN,2
Ca65Cu30Mg5,MMG,403.0,424.0,757.0,NAN,0.5
Ca60Al30Zn10,MMG,517.0,540.0,775.0,NAN,1.5
Ca60Al30Ag10,MMG,483.0,531.0,868.0,NAN,2
Ca60Al30Mg10,MMG,508.0,523.0,873.0,NAN,2
Ca55Mg25Cu20,MMG,398.0,428.0,668.0,NAN,8
Cu46Zr42Al7Y5,MMG,672.0,772.0,1113.0,40,10
Ca45Cu36Mg19,MMG,399.0,428.0,714.0,NAN,0.5
Ca40Cu35Mg25,MMG,399.0,436.0,680.0,NAN,4
Ca45Cu30Mg25,MMG,400.0,438.0,678.0,NAN,6
Ca40Mg30Cu30,MMG,395.0,430.0,694.0,NAN,0.5
Ca50Mg25Cu25,MMG,400.0,439.0,655.0,NAN,9
Ca50Mg30Cu20,MMG,402.0,439.0,731.0,NAN,2
Ca65Mg20Cu15,MMG,386.0,405.0,679.0,NAN,2
Ca70Mg20Cu10,MMG,356.0,385.0,702.0,NAN,0.5
Ca45Mg30Cu25,MMG,401.0,436.0,717.0,NAN,1
Ca60Mg25Cu15,MMG,390.0,416.0,676.0,NAN,2
Ca60Mg20Cu20,MMG,387.0,412.0,678.0,NAN,4
Ca65Mg25Cu10,MMG,405.0,429.0,691.0,NAN,0.5
Ca60Mg25Zn15,MMG,377.0,409.0,744.0,NAN,1
Ca65Mg25Zn10,MMG,387.0,405.0,759.0,NAN,0.5
Ca65Mg20Zn15,MMG,380.0,405.0,668.0,NAN,5
Ca65Zn25Mg10,MMG,377.0,412.0,659.0,NAN,2
Ca70Mg15Zn15,MMG,371.0,397.0,688.0,NAN,0.5
Ca55Mg25Zn20,MMG,375.0,418.0,751.0,NAN,1
Ca60Mg20Zn20,MMG,378.0,415.0,660.0,NAN,4
Ca65Mg15Zn20,MMG,377.0,410.0,630.0,NAN,6
Ca58Al32Mg10,MMG,513.0,539.0,873.0,NAN,1.5
Ca65Al20Mg15,MMG,463.0,491.0,776.0,NAN,1.5
Ca70Al15Mg15,MMG,420.0,460.0,771.0,NAN,1.5
Ca55Mg15Cu30,MMG,397.0,437.0,706.0,NAN,3
Ca50Cu30Mg20,MMG,401.0,442.0,690.0,NAN,8
Ca53Cu24Mg23,MMG,406.0,439.0,655.0,NAN,7
Ca54Cu28Mg18,MMG,399.0,442.0,691.0,NAN,1
Ca55Cu25Mg20,MMG,399.0,426.0,720.0,NAN,2
Ca55Cu35Mg10,MMG,397.0,422.0,770.0,NAN,0.5
Ca58Cu24Mg18,MMG,388.0,426.0,667.0,NAN,6
Ca60Cu20Mg20,MMG,387.0,412.0,678.0,NAN,4
Ca60Cu27Mg13,MMG,394.0,426.0,701.0,NAN,1
Ca65Cu20Mg15,MMG,383.0,409.0,682.0,NAN,4
Ca65Cu25Mg10,MMG,388.0,420.0,711.0,NAN,2
Ca70Cu20Mg10,MMG,385.0,407.0,713.0,NAN,1
Ca60Mg25Ni15,MMG,431.0,453.0,683.0,NAN,13
Ca55Zn25Mg20,MMG,383.0,428.0,702.0,NAN,2
Ca55Zn27Mg18,MMG,389.0,419.0,671.0,NAN,0.5
Ca55Zn30Mg15,MMG,387.0,419.0,696.0,NAN,0.5
Ca60Zn20Mg20,MMG,378.0,415.0,660.0,NAN,4
Ca60Zn25Mg15,MMG,379.0,427.0,650.0,NAN,6
Ca60Zn30Mg10,MMG,380.0,400.0,666.0,NAN,0.5
Ca65Zn20Mg15,MMG,375.0,410.0,630.0,NAN,6
Ca70Zn20Mg10,MMG,367.0,399.0,657.0,NAN,0.5
Ca70Mg10Zn20,MMG,367.0,399.0,657.0,NAN,0.5
Ca60Mg10Zn30,MMG,380.0,400.0,666.0,NAN,0.5
Ca55Mg15Zn30,MMG,387.0,419.0,696.0,NAN,0.5
Ca55Mg18Zn27,MMG,389.0,419.0,671.0,NAN,0.5
Ca55Mg10Cu35,MMG,397.0,422.0,770.0,NAN,0.5
Ca45Mg19Cu36,MMG,399.0,428.0,714.0,NAN,0.5
Ca70Mg10Cu20,MMG,385.0,407.0,713.0,NAN,1
Ca60Mg13Cu27,MMG,394.0,426.0,701.0,NAN,1
Ca60Mg15Cu25,MMG,396.0,428.0,687.0,NAN,1
Ca65Mg10Zn25,MMG,377.0,412.0,659.0,NAN,2
Ca55Mg20Zn25,MMG,383.0,428.0,702.0,NAN,2
Ca65Mg10Cu25,MMG,388.0,420.0,711.0,NAN,2
Ca30Mg25Cu45,MMG,387.0,430.0,798.0,NAN,2.5
Ca65Mg15Cu20,MMG,383.0,409.0,682.0,NAN,4
Ca40Mg25Cu35,MMG,399.0,436.0,680.0,NAN,4
Ca53Mg23Cu24,MMG,406.0,439.0,655.0,NAN,7
Ca60Mg15Zn25,MMG,379.0,427.0,650.0,NAN,6
Ca58Mg18Cu24,MMG,388.0,426.0,667.0,NAN,6
Ca50Mg20Cu30,MMG,401.0,442.0,690.0,NAN,8
Ca55Mg20Cu25,MMG,399.0,426.0,720.0,NAN,2
Ca45Mg25Cu30,MMG,400.0,438.0,678.0,NAN,6
Ca47.5Mg19.1Zn6.8Cu26.6,MMG,397.0,438.0,682.0,NAN,NAN
Ca50Mg22.5Cu27.5,MMG,400.0,442.0,663.0,NAN,10
Ca60Mg17.5Zn22.5,MMG,383.0,421.0,650.0,NAN,10
Ca47Mg19Zn7Cu27,MMG,393.0,440.0,676.0,NAN,6
Ca55Mg20Al19Zn6,MMG,448.0,484.0,745.0,NAN,1.5
Ca55Al20Mg18Zn7,MMG,447.0,491.0,822.0,NAN,1
Ca60Mg18Al15Zn7,MMG,431.0,485.0,748.0,NAN,2.5
Ca47.5Cu30Mg22.5,MMG,399.0,440.0,673.0,NAN,10
Ca47.5Mg22.5Cu30,MMG,399.0,440.0,673.0,NAN,6
Ca50Cu27.5Mg22.5,MMG,400.0,442.0,663.0,NAN,10
Ca60Zn22.5Mg17.5,MMG,378.0,428.0,650.0,NAN,10
Ca62.5Zn20Mg17.5,MMG,375.0,412.0,640.0,NAN,10
Ca47Cu27Mg19Zn7,MMG,393.0,440.0,676.0,NAN,6
Ca55Mg18Al20Zn7,MMG,447.0,491.0,822.0,NAN,NAN
Ca60Cu20Al11Mg9,MMG,401.0,450.0,757.0,NAN,2
Ca50Cu25Mg20Zn5,MMG,399.0,441.0,654.0,NAN,10
Ca50Mg25Cu20Zn5,MMG,393.0,435.0,663.0,NAN,8
Ca50Mg15Zn10Cu25,MMG,395.0,434.0,678.0,NAN,10
Ca60Mg20Al10Zn10,MMG,403.0,449.0,746.0,NAN,6
Ca50Mg25Zn15Cu10,MMG,383.0,430.0,723.0,NAN,8
Ca55Mg20Al15Zn10,MMG,421.0,477.0,806.0,NAN,2
Ca60Mg20Al10Cu10,MMG,408.0,442.0,817.0,NAN,2
Ca60Cu15Mg15Al10,MMG,397.0,430.0,810.0,NAN,2
