"Alloys","Phase","Tg","Tx","Tl","Rc_mm/s","Dmax_mm"
"Al18.2Co18.2Cr18.2Cu18.2Fe9.1Ni18.2","CMA",803,836,1250,"NAN","NAN"
"Al19.61Co19.61Cr19.61Fe19.61Nb1.96Ni19.61","CMA",796,840,1266,"NAN","NAN"
"Al18.5Cr18.5Cu18.5Fe18.5Ni25.9","CMA",791,825,1252,"NAN","NAN"
"Al19.6Co19.6Cr19.6Fe19.6Nb2.0Ni19.6","CMA",796,840,1266,"NAN","NAN"
"Al19.61Co19.61Cr19.61Fe19.61Mo1.96Ni19.61","CMA",798,842,1266,"NAN","NAN"
"Al18.2Co18.2Cr9.1Cu18.2Fe18.2Ni18.2","CMA",787,827,1260,"NAN","NAN"
"Al18.2Co27.3Cu18.2Fe18.2Ni18.2","CMA",796,859,1296,"NAN","NAN"
"Al19.6Co19.6Cr19.6Fe19.6Mo2.0Ni19.6","CMA",798,842,1266,"NAN","NAN"
"Al20Co20Cr20Cu20Fe20","CMA",791,826,1253,"NAN","NAN"
"Al20Co10Cr20Cu10Fe20Ni20","CMA",794,827,1250,"NAN","NAN"
"Al20Co20Fe20Mn20Ni20","CMA",773,809,1255,"NAN","NAN"
"Al20Cr20Cu20Fe20Ni20","CMA",785,820,1253,"NAN","NAN"
"Al20Cr20Cu20Fe20Ni20","CMA",785,820,1253,"NAN","NAN"
"Al15.4Co15.4Cr30.8Fe15.4Mo7.7Ni15.4","CMA",869,999,1380,"NAN","NAN"
"Al20Co25Fe25Ni25Cr5","CMA",797,838,1263,"NAN","NAN"
"Al23.1Cr19.2Fe28.8Mn19.2Ni9.6","CMA",793,848,1283,"NAN","NAN"
"Al16.67Co16.67Cu16.67Fe16.67Ni16.67Ti16.67","CMA",790,845,1284,"NAN","NAN"
"Al20.83Cr20.83Cu20.83Fe20.83Ni16.67","CMA",776,808,1249,"NAN","NAN"
"Al19.05Co19.05Cr19.05Fe19.05Nb4.76Ni19.05","CMA",796,835,1259,"NAN","NAN"
"Al27.3Cr18.2Fe18.2Mn18.2Ti18.2","CMA",762,820,1291,"NAN","NAN"
"Al19.4Cr16.1Cu16.1Fe16.1Ni32.3","CMA",782,811,1245,"NAN","NAN"
"Al19.2Co19.2Cr19.2Fe19.2Mo3.8Ni19.2","CMA",804,848,1267,"NAN","NAN"
"Al19.23Co19.23Cr19.23Fe19.23Mo3.85Ni19.23","CMA",804,848,1267,"NAN","NAN"
"Al19.99Co26.67Fe26.67Ni26.67","CMA",789,831,1264,"NAN","NAN"
"Al20.0Co26.7Fe26.7Ni26.7","CMA",789,831,1264,"NAN","NAN"
"Al20.63Co15.87Cr15.87Cu15.87Fe15.87Ni15.87","CMA",773,803,1247,"NAN","NAN"
"Al20.6Co15.9Cr15.9Cu15.9Fe15.9Ni15.9","CMA",773,803,1247,"NAN","NAN"
"Al22.2Co22.2Cr22.2Cu11.1Fe22.2","CMA",793,825,1249,"NAN","NAN"
"Al16.67Co16.67Cr16.67Fe25Mo8.34Ni16.67","CMA",842,969,1381,"NAN","NAN"
"Al20Co20Cu20Ni20Mn20","CMA",791,844,1281,"NAN","NAN"
"Al20Co20Cr20Cu20Ni20","CMA",787,818,1247,"NAN","NAN"
"Al20Co20Fe20Ni20Ti20","CMA",792,866,1311,"NAN","NAN"
"Al23.1Co15.4Cr15.4Fe15.4Ni15.4Ti15.4","CMA",778,837,1291,"NAN","NAN"
"Al23.08Co15.38Cr15.38Fe15.38Ni15.38Ti15.38","CMA",778,837,1291,"NAN","NAN"
"Al16.67Co25Cr16.67Fe16.67Mo8.33Ni16.67","CMA",842,966,1377,"NAN","NAN"
"Al20.6Cr15.9Cu15.9Fe15.9Ni31.8","CMA",774,809,1255,"NAN","NAN"
"Al19.35Cr16.13Cu16.13Ni16.13Ni32.26","CMA",788,826,1258,"NAN","NAN"
"Al23.1Co19.2Cr19.2Fe19.2Ni19.2","CMA",794,828,1251,"NAN","NAN"
"Al23.0Co14.8Cr23.0Cu8.2Fe14.8Ni16.4","CMA",793,825,1249,"NAN","NAN"
"Al21.74Cr21.74Cu21.74Fe21.74Ni13.04","CMA",774,811,1257,"NAN","NAN"
"Al18.9Co18.9Cr18.9Fe18.9Mo5.7Ni18.9","CMA",805,876,1305,"NAN","NAN"
"Al16.7Co16.7Cr25.0Fe16.7Mo8.3Ni16.7","CMA",849,928,1311,"NAN","NAN"
"Al20Co20Cu20Fe20Ni20","CMA",800,846,1269,"NAN","NAN"
"Al22.6Co19.3Cr19.3Fe19.3Ni19.3","CMA",795,827,1249,"NAN","NAN"
"Al22.2Cr22.2Cu11.1Fe22.2Ni22.2","CMA",793,825,1249,"NAN","NAN"
"Al19.23Co19.23Cr19.23Fe19.23Ni19.23Si3.85","CMA",796,824,1243,"NAN","NAN"
"Al23.2Co19.2Cr19.2Fe19.2Ni19.2","CMA",794,827,1251,"NAN","NAN"
"Al22.2Co22.2Cr22.2Cu11.1Ni22.2","CMA",792,826,1251,"NAN","NAN"
"Al18.5Co 18.5Cr18.5Fe18.5Mo7.4Ni18.5","CMA",835,899,1292,"NAN","NAN"
"Al23.81Co19.05Cr19.05Fe19.05Ni19.05","CMA",794,830,1256,"NAN","NAN"
"Al22.5Co25.0Fe25.0Ni25.0Cr2.5","CMA",769,806,1257,"NAN","NAN"
"Al18.18Co18.18Cr18.18Fe18.18Nb9.09Ni18.18","CMA",813,849,1252,"NAN","NAN"
"Al25Cr25Fe25Ni25","CMA",794,835,1263,"NAN","NAN"
"Al23.1Co15.4Cr15.4Cu15.4Fe15.4Ni15.4","CMA",773,815,1266,"NAN","NAN"
"Al23.1Cr19.2Cu19.2Fe19.2Ni19.2","CMA",772,812,1262,"NAN","NAN"
"Al23.08Co15.38Cr15.38Cu15.38Fe15.38Ni15.38","CMA",773,815,1266,"NAN","NAN"
"Al15.38Co15.38Cr15.38Cu15.38Ni15.38Ti15.38Y7.69","CMA",779,861,1327,"NAN","NAN"
"Al22.2Co22.2Cu11.1Fe22.2Ni22.2","CMA",791,833,1287,"NAN","NAN"
"Al27.3Cr18.2Fe27.3Mn18.2Ni9.1","CMA",785,842,1287,"NAN","NAN"
"Al23.1Cr15.4Cu15.4Fe15.4Ni30.8","CMA",773,816,1267,"NAN","NAN"
"Al18.52Co18.52Cr18.52Fe18.52Ni18.52Si7.41","CMA",796,837,1262,"NAN","NAN"
"Al24.53Co18.87Cr18.87Cu18.87Fe18.87","CMA",773,816,1268,"NAN","NAN"
"Al33.3Cr16.7Fe16.7Mn16.7Ti16.7","CMA",760,816,1288,"NAN","NAN"
"Al28.57Co14.29Cr14.29Fe14.29Ni14.29Ti14.29","CMA",779,841,1295,"NAN","NAN"
"Al23.81Cr23.81Fe23.81Ni23.81Mo4.76","CMA",795,837,1263,"NAN","NAN"
"Al25.0Co16.7Cr16.7Cu8.3Fe16.7Ni16.7","CMA",774,814,1261,"NAN","NAN"
"Al23.8Cr23.8Fe23.8Mo4.8Ni23.8","CMA",795,837,1263,"NAN","NAN"
"Al17.4Co17.4Cr17.4Fe17.4Nb13.0Ni17.4","CMA",808,839,1247,"NAN","NAN"
"Al16.7Co16.7Cu16.7Fe16.7Ni16.7Zr16.7","CMA",795,890,1344,"NAN","NAN"
"Al26.67Cr26.67Cu26.67Fe20","CMA",772,836,1299,"NAN","NAN"
"Al20Co20Cr10Fe20Mo10Ni20","CMA",809,866,1283,"NAN","NAN"
"Al27.2Co18.2Cr18.2Fe18.2Ni18.2","CMA",783,823,1261,"NAN","NAN"
"Al25Co25Fe25Ni25","CMA",779,814,1254,"NAN","NAN"
"Al14.71Co14.71Cr14.71Cu14.71Ni14.71Ti14.71Y11.76","CMA",771,876,1364,"NAN","NAN"
"Al17.86Co17.86Cr17.86Fe17.86Ni17.86Si10.71","CMA",798,855,1286,"NAN","NAN"
"Al27.27Co18.18Cr18.18Fe18.18Ni18.18","CMA",782,822,1261,"NAN","NAN"
"Al19.61Co19.61Cr19.61Fe11.77Mo9.81Ni19.61","CMA",827,875,1269,"NAN","NAN"
"Al20Co10Cr20Fe20Mo10Ni20","CMA",820,874,1279,"NAN","NAN"
"Al23.8Co4.8Cu23.8Fe23.8Ni23.8","CMA",786,839,1280,"NAN","NAN"
"Al27.27Co18.18Cr18.18Cu18.18Fe18.18","CMA",771,821,1277,"NAN","NAN"
"Al20Co20Cr20Fe10Mo10Ni20","CMA",827,876,1271,"NAN","NAN"
"Al26.47Co14.71Cr14.71Cu14.71Fe14.71Ni14.71","CMA",777,821,1268,"NAN","NAN"
"Al26.5Co14.7Cr14.7Cu14.7Fe14.7Ni14.7","CMA",777,824,1274,"NAN","NAN"
"Al28.57Co14.29Cr14.29Fe14.29Fe14.29Ni14.29","CMA",775,834,1291,"NAN","NAN"
"Al14.29Co14.29Cr14.29Cu14.29Ni14.29Ti14.29Y14.29","CMA",737,744,1188,"NAN","NAN"
"Al27.3Cr18.2Cu18.2Fe18.2Ni18.2","CMA",773,824,1280,"NAN","NAN"
"Al22.22Co22.22Cr22.22Fe22.22Mo11.11","CMA",806,837,1247,"NAN","NAN"
"Al17.24Co17.24Cr17.24Fe17.24Ni17.24Si13.79","CMA",798,851,1280,"NAN","NAN"
"Al25Cu25Fe25Ni25","CMA",787,853,1300,"NAN","NAN"
"Al38.1Cr19.1Fe19.1Mn19.1Ti4.8","CMA",759,818,1293,"NAN","NAN"
"Al22.2Co22.2Fe22.2Mo11.1Ni22.2","CMA",810,866,1283,"NAN","NAN"
"Al28.57Co14.29Cr14.29Cu14.29Fe14.29Ni14.29","CMA",776,832,1286,"NAN","NAN"
"Al28.6Co14.3Cr14.3Cu14.3Fe14.3Ni14.3","CMA",776,832,1286,"NAN","NAN"
"Al16.67Co16.67Cr16.67Fe16.67Ni16.67Si16.67","CMA",793,849,1284,"NAN","NAN"
"Al22.22Cr22.22Fe22.22Ni22.22Mo11.11","CMA",806,837,1247,"NAN","NAN"
"Al22.2Cr22.2Fe22.2Mo11.1Ni22.2","CMA",806,837,1247,"NAN","NAN"
"Al31.2Co17.2Cr17.2Fe17.2Ni17.2","CMA",772,828,1288,"NAN","NAN"
"Al25Co16.67Cr16.67Fe16.67Mo8.34Ni16.67","CMA",784,821,1256,"NAN","NAN"
"Al28.6Cr14.3Cu14.3Fe14.3Ni28.6","CMA",776,832,1286,"NAN","NAN"
"Al31.25Li15.63Mg31.25Sc6.25Zn15.63","CMA",563,602,1121,"NAN","NAN"
"Al30.8Co15.4Cr15.4Cu7.7Fe15.4Ni15.4","CMA",778,845,1302,"NAN","NAN"
"Al31.03Co17.24Cr17.24Cu17.24Fe17.24","CMA",782,844,1294,"NAN","NAN"
"Al55.2Cr13.8Fe13.8Mn13.8Ti3.5","CMA",308,471,787,"NAN","NAN"
"Al48.0Cr16.0Fe16.0Mn16.0Ti4.0","CMA",307,462,796,"NAN","NAN"
"Al33.3Co16.7Cr16.7Fe16.7Ni16.7","CMA",772,931,1292,"NAN","NAN"
"Al31.0Cr17.2Cu17.2Fe17.2Ni17.2","CMA",782,843,1293,"NAN","NAN"
"Al33.33Co16.67Cr16.67Fe16.67Ni16.67","CMA",772,831,1292,"NAN","NAN"
"Al31.5Co13.7Cr13.7Cu13.7Fe13.7Ni13.7","CMA",783,855,1310,"NAN","NAN"
"Al31.51Co13.70Cr13.70Cu13.70Fe13.70Ni13.70","CMA",783,855,1310,"NAN","NAN"
"Al35.5Cr16.1Cu16.1Fe16.1Ni16.1","CMA",782,845,1297,"NAN","NAN"
"Al34.2Co16.5Cr16.5Fe16.5Ni16.5","CMA",773,833,1292,"NAN","NAN"
"Al33.33Co16.67Cr16.67Cu16.67Fe16.67","CMA",784,851,1304,"NAN","NAN"
"Al40.0Ti7.5Co7.5Cr7.5Fe7.5Ni7.5Cu7.5V7.5Mn7.5","CMA",726,746,1167,"NAN","NAN"
"Al33.3Cr16.7Cu16.7Fe16.7Ni16.7","CMA",784,851,1304,"NAN","NAN"
"Al33.3Co13.3Cr13.3Cu13.3Fe13.3Ni13.3","CMA",785,852,1301,"NAN","NAN"
"Al33.33Co13.33Cr13.33Cu13.33Fe13.33Ni13.33","CMA",785,852,1301,"NAN","NAN"
"Al15.38C23.08Co15.38Cr15.38Fe15.38Ni15.38","CMA",794,877,1326,"NAN","NAN"
"Al20.83Cr20.83Fe20.83Ni20.83Mo16.67","CMA",866,999,1385,"NAN","NAN"
"Al20.8Cr20.8Fe20.8Mo16.7Ni20.8","CMA",866,999,1385,"NAN","NAN"
"Al16.67Co16.67Mo16.67Cu16.67Ti16.67Ni16.67","CMA",812,879,1299,"NAN","NAN"
"Al16.67Co16.67Cu16.67Fe16.67Ni16.67Si16.67","CMA",781,849,1304,"NAN","NAN"
"Al20Co20Cu20Fe20Nb20","CMA",815,904,1332,"NAN","NAN"
"Al36.51Co15.87Cr15.87Cu15.87Fe15.87","CMA",779,841,1297,"NAN","NAN"
"Al38.46Co15.38Cr15.38Fe15.38Ni15.38","CMA",776,840,1298,"NAN","NAN"
"Al20Mn20V20Ti20Zr20","CMA",651,713,1096,"NAN","NAN"
"Al20Cr20Mn20Nb20V20","CMA",846,927,1315,"NAN","NAN"
"Al35.90Co12.82Cr12.82Cu12.82Fe12.82Ni12.82","CMA",783,849,1302,"NAN","NAN"
"Al38.46Co15.38Cr15.38Cu15.38Fe15.38","CMA",778,848,1310,"NAN","NAN"
"Al30.77Co15.38Cr15.38Fe15.38Mo7.69Ni15.38","CMA",789,832,1266,"NAN","NAN"
"Al37.5Co12.5Cr12.5Cu12.5Fe12.5Ni12.5","CMA",782,853,1310,"NAN","NAN"
"Al20Cr20Nb20V20V20","CMA",867,975,1349,"NAN","NAN"
"Al42.86Co14.29Cr14.29Fe14.29Ni14.29","CMA",776,838,1297,"NAN","NAN"
"Al38.5Cr15.4Cu 15.4Fe15.4Ni15.4","CMA",779,845,1300,"NAN","NAN"
"Al31.25Cu6.25Li15.63Mg31.25Zn15.63","CMA",568,604,1129,"NAN","NAN"
"Al41.18Co14.71Cr14.71Cu14.71Fe14.71","CMA",779,865,1333,"NAN","NAN"
"Al20.0Cr20.0Nb20.0Ti20.0V20.0","CMA",839,864,1236,"NAN","NAN"
"Al37.5Cr12.5Cu12.5Fe12.5Ni25.0","CMA",782,856,1313,"NAN","NAN"
"Al42.86Co14.29Cr14.29Cu14.29Fe14.29","CMA",287,461,747,"NAN","NAN"
"Al16.67C16.67Co16.67Cr16.67Fe16.67Ni16.67","CMA",795,880,1328,"NAN","NAN"
"Al20Ti20Cu20Y20Mn20","CMA",658,732,1079,"NAN","NAN"
"Al20Cr20Fe20Ni20Mo20","CMA",881,1060,1444,"NAN","NAN"
"Al20Li20Cu10Sc20Ti30","CMA",346,464,894,"NAN","NAN"
"Al20Cr20Ti20Si20Zr20","CMA",613,683,1077,"NAN","NAN"
"Al8.06Nb16.13Cr16.13Cu16.13Ti24.19V3.23Zr16.13","CMA",815,864,1272,"NAN","NAN"
"Al22.2Cr11.1Nb22.2Ti22.2V22.2","CMA",803,813,1185,"NAN","NAN"
"Al20Cr20Mo20Si20Ti20","CMA",848,945,1337,"NAN","NAN"
"Al25Nb25Ti25V25","CMA",805,807,1203,"NAN","NAN"
"Al20Li20Mg10Zn20Ti30","CMA",397,495,961,"NAN","NAN"
"Al21.28Cu10.63Li21.28Ti21.28Mg21.28Sn4.27","CMA",418,471,1066,"NAN","NAN"
"Al16.67Fe16.67Nb16.67Ti16.67Ti16.67Zr16.67","CMA",679,712,1144,"NAN","NAN"
"Al20Cu20Ni20Ti20Sn20","CMA",320,461,834,"NAN","NAN"
"Al6Nb20Ti16Ti28V4Zr26","CMA",740,758,1229,"NAN","NAN"
"Al11.1Nb22.2Ti22.2V22.2Zr22.2","CMA",809,821,1217,"NAN","NAN"
"Al5.88Mo23.53Nb23.53Ti23.53V23.53","CMA",875,1047,1437,"NAN","NAN"
"Al20Cr20Nb20Ti20Zr20","CMA",669,713,1127,"NAN","NAN"
"Al20Nb20Ti20V20Zr20","CMA",758,770,1219,"NAN","NAN"
"Al27.3Nb18.2Ti18.2V18.2Zr18.2","CMA",746,747,1199,"NAN","NAN"
"Al11.11Mo22.22Nb22.22Ti22.22V22.22","CMA",863,977,1358,"NAN","NAN"
"Al15.79Mo21.05Nb21.05V21.05V21.05","CMA",950,1135,1433,"NAN","NAN"
"Al20Cr20Mo20Nb20Ti20","CMA",849,952,1346,"NAN","NAN"
"Al20Cr20Mo20Nb20Ti20","CMA",849,952,1346,"NAN","NAN"
"Al6Nb20Ta16Ti28V4Zr26","CMA",812,854,1262,"NAN","NAN"
"Al25.0Cr25.0Mo25.0Nb25.0","CMA",867,1021,1412,"NAN","NAN"
"Al25.0Mo25.0Nb25.0Ti25.0","CMA",846,943,1338,"NAN","NAN"
"Al20.0Mo10.0Nb20.0Ta10.0Ti20.0Zr20.0","CMA",828,894,1296,"NAN","NAN"
"Al20Cr20Ti20Nb20Ta20","CMA",879,992,1354,"NAN","NAN"
"Al11.11Nb22.22Ta22.22Ti22.22V22.22","CMA",820,821,1198,"NAN","NAN"
"Al5.66Hf18.87Nb18.87Ta18.87Ti18.87Zr18.87","CMA",816,845,1243,"NAN","NAN"
"Al9.09Hf18.18Nb18.18Ta18.18Ti18.18Zr18.18","CMA",826,867,1260,"NAN","NAN"
"Al13.04Hf17.39Nb17.39Ta17.39Ti17.39Zr17.39","CMA",826,887,1290,"NAN","NAN"
"Al13.0Hf17.4Nb17.4Ta17.4Ti17.4Zr17.4","CMA",826,887,1290,"NAN","NAN"
"Al25.0Hf25.0Nb25.0Ti25.0","CMA",793,888,1344,"NAN","NAN"
"Al10Hf15Ta25Ti25Zr25","CMA",803,846,1264,"NAN","NAN"
"Al25.0Hf25.0Ta25.0Ti25.0","CMA",817,863,1267,"NAN","NAN"
"Al20Ce20La20Ni20Y20","MG","NAN","NAN","NAN","NAN",0.01
"Al25.0Nb25.0Ta25.0Ti25.0","CMA",822,835,1219,"NAN","NAN"
"Al5.88Nb23.53Ta23.53Ti23.53V23.53","CMA",853,882,1240,"NAN","NAN"
"Al10.0Nb20.0Ta16.0Ti30.0V4.0Zr20.0","CMA",806,848,1262,"NAN","NAN"
"Al20.0Nb30.0Ta10.0Ti30.0Zr10.0","CMA",814,857,1265,"NAN","NAN"
"Al8.0Hf12.0Nb20.0Ta20.0Ti20.0Zr20.0","CMA",812,845,1248,"NAN","NAN"
"Ag38.4Mg30.8Ca30.8","MMG",394,426,805,"NAN",0.5
"Ag38.4Mg38.4Ca23.2","MMG",391,425,796,"NAN",1.1
"Ag46.2Ca38.4Mg15.3","MMG",407,439,809,"NAN",0.3
"Ag46.2Ca30.7Mg23.1","MMG",399,426,765,"NAN",0.7
"Ag46.2Mg30.7Ca23.1","MMG",393,427,880,"NAN",0.5
"Ag53.8Mg23.1Ca23.1","MMG",451,488,887,"NAN",0.7
"Ag53.8Ca30.8Mg15.4","MMG",444,498,812,"NAN",0.8
"Ag61.5Ca23.1Mg15.4","MMG",486,526,920,"NAN",0.7
"Ag61.5Mg23.1Ca15.4","MMG",440,485,919,"NAN",0.5
"Ag46.2Mg23.2Ca23Cu7.7","MMG",398,430,825,"NAN",2
"Ag50Mg11.5Ca30.8Cu7.7","MMG",452,487,809,"NAN",1
"Ag50Mg19.2Ca23.1Cu7.7","MMG",426,466,797,"NAN",1.2
"Ag53.8Mg7.7Ca30.5Cu7.7","MMG",428,488,843,"NAN",0.3
"Ag38.5Mg23Ca30.8Cu7.7","MMG",384,416,854,"NAN",2
"Ag30.8Mg30.8Ca30.8Cu7.7","MMG",407,427,809,"NAN",2
"Ag38.5Mg30.8Ca23.1Cu7.7","MMG",387,420,833,"NAN",3
"Ag38.5Mg38.5Ca15.4Cu7.7","MMG",405,436,842,"NAN",0.5
"Ag46.2Mg15.4Ca30.5Cu7.7","MMG",414,445,805,"NAN",0.8
"Ag53.8Mg23.1Ca15.4Cu7.7","MMG",407,463,877,"NAN",0.5
"Ag53.8Mg15.4Ca23.1Cu7.7","MMG",433,463,831,"NAN",0.5
"Ag30.8Mg23.1Ca30.8Cu15.4","MMG",413,432,803,"NAN",2.5
"Au55Cu25Si20","MMG",348,383,654,"NAN",0.5
"Au77.8Ge13.8Si8.4","MG","NAN","NAN","NAN",740000,"NAN"
"Au46Cu29Si20Ag5","MMG",395,420,664,"NAN","NAN"
"Au46Ag5Cu29Si20","MMG",395,420,664,"NAN",1
"Au52Cu29.2Si16.5Pd2.3","MMG",393,427,651,"NAN","NAN"
"Au52Pd2.3Cu29.2Si16.5","MMG",393,427,651,"NAN",2
"Au49Ag5.5Pd2.3Cu26.9Si16.3","MMG",401,459,644,160,5
"Ca66.4Al33.6","MMG",527,534,841,"NAN",1
"Ca63Al32Ag5","MMG",503,527,"NAN","NAN",1.5
"Ca63Al32Cu5","MMG",512,523,831,"NAN",2
"Ca65Cu30Mg5","MMG",403,424,757,"NAN",0.5
"Ca60Al30Cu10","MMG",498,517,"NAN","NAN",1.5
"Ca60Al30Zn10","MMG",517,540,775,"NAN",1.5
"Ca60Al30Ag10","MMG",483,531,868,"NAN",2
"Ca60Al30Mg10","MMG",508,523,873,"NAN",2
"Ca55Mg25Cu20","MMG",398,428,668,"NAN",8
"Cu46Zr42Al7Y5","MMG",672,772,1113,40,10
"Ca45Cu36Mg19","MMG",399,428,714,"NAN",0.5
"Ca40Cu35Mg25","MMG",399,436,680,"NAN",4
"Ca45Cu30Mg25","MMG",400,438,678,"NAN",6
"Ca40Mg30Cu30","MMG",395,430,694,"NAN",0.5
"Ca50Mg25Cu25","MMG",400,439,655,"NAN",9
"Ca50Mg30Cu20","MMG",402,439,731,"NAN",2
"Ca65Mg20Cu15","MMG",386,405,679,"NAN",2
"Ca70Mg20Cu10","MMG",356,385,702,"NAN",0.5
"Ca45Mg30Cu25","MMG",401,436,717,"NAN",1
"Ca60Mg25Cu15","MMG",390,416,676,"NAN",2
"Ca60Mg20Cu20","MMG",387,412,678,"NAN",4
"Ca65Mg25Cu10","MMG",405,429,691,"NAN",0.5
"Ca60Mg25Zn15","MMG",377,409,744,"NAN",1
"Ca65Mg25Zn10","MMG",387,405,759,"NAN",0.5
"Ca65Mg20Zn15","MMG",380,405,668,"NAN",5
"Ca65Zn25Mg10","MMG",377,412,659,"NAN",2
"Ca70Mg15Zn15","MMG",371,397,688,"NAN",0.5
"Ca55Mg25Zn20","MMG",375,418,751,"NAN",1
"Ca60Mg20Zn20","MMG",378,415,660,"NAN",4
"Ca65Mg15Zn20","MMG",377,410,630,"NAN",6
"Ca58Al32Mg10","MMG",513,539,873,"NAN",1.5
"Ca65Al20Mg15","MMG",463,491,776,"NAN",1.5
"Ca70Al15Mg15","MMG",420,460,771,"NAN",1.5
"Ca55Mg15Cu30","MMG",397,437,706,"NAN",3
"Ca50Cu30Mg20","MMG",401,442,690,"NAN",8
"Ca53Cu24Mg23","MMG",406,439,655,"NAN",7
"Ca54Cu28Mg18","MMG",399,442,691,"NAN",1
"Ca55Cu25Mg20","MMG",399,426,720,"NAN",2
"Ca55Cu35Mg10","MMG",397,422,770,"NAN",0.5
"Ca58Cu24Mg18","MMG",388,426,667,"NAN",6
"Ca60Cu20Mg20","MMG",387,412,678,"NAN",4
"Ca60Cu27Mg13","MMG",394,426,701,"NAN",1
"Ca65Cu20Mg15","MMG",383,409,682,"NAN",4
"Ca65Cu25Mg10","MMG",388,420,711,"NAN",2
"Ca70Cu20Mg10","MMG",385,407,713,"NAN",1
"Ca60Mg25Ni15","MMG",431,453,683,"NAN",13
"Ca55Zn25Mg20","MMG",383,428,702,"NAN",2
"Ca55Zn27Mg18","MMG",389,419,671,"NAN",0.5
"Ca55Zn30Mg15","MMG",387,419,696,"NAN",0.5
"Ca60Zn20Mg20","MMG",378,415,660,"NAN",4
"Ca60Zn25Mg15","MMG",379,427,650,"NAN",6
"Ca60Zn30Mg10","MMG",380,400,666,"NAN",0.5
"Ca65Zn20Mg15","MMG",375,410,630,"NAN",6
"Ca70Zn20Mg10","MMG",367,399,657,"NAN",0.5
"Ca70Mg15Al15","MMG",420,460,"NAN","NAN",1.5
"Ca70Mg10Zn20","MMG",367,399,657,"NAN",0.5
"Ca60Mg10Zn30","MMG",380,400,666,"NAN",0.5
"Ca55Mg15Zn30","MMG",387,419,696,"NAN",0.5
"Ca55Mg18Zn27","MMG",389,419,671,"NAN",0.5
"Ca55Mg10Cu35","MMG",397,422,770,"NAN",0.5
"Ca45Mg19Cu36","MMG",399,428,714,"NAN",0.5
"Ca70Mg10Cu20","MMG",385,407,713,"NAN",1
"Ca60Mg13Cu27","MMG",394,426,701,"NAN",1
"Ca60Mg15Cu25","MMG",396,428,687,"NAN",1
"Ca65Mg10Zn25","MMG",377,412,659,"NAN",2
"Ca55Mg20Zn25","MMG",383,428,702,"NAN",2
"Ca65Mg10Cu25","MMG",388,420,711,"NAN",2
"Ca30Mg25Cu45","MMG",387,430,798,"NAN",2.5
"Ca65Mg15Cu20","MMG",383,409,682,"NAN",4
"Ca40Mg25Cu35","MMG",399,436,680,"NAN",4
"Ca53Mg23Cu24","MMG",406,439,655,"NAN",7
"Ca60Mg15Zn25","MMG",379,427,650,"NAN",6
"Ca58Mg18Cu24","MMG",388,426,667,"NAN",6
"Ca50Mg20Cu30","MMG",401,442,690,"NAN",8
"Ca60Mg16Zn24","MMG",379,427,"NAN","NAN",1
"Ca57Mg19Cu24","MMG",404,440,"NAN","NAN",4
"Ca60Mg20Ag20","MMG",401,435,"NAN","NAN",4
"Ca55Mg20Cu25","MMG",399,426,720,"NAN",2
"Ca45Mg25Cu30","MMG",400,438,678,"NAN",6
"Ca60Mg10Al30","MMG",508.2,523.2,"NAN","NAN",2
"Ca57.5Mg15Zn27.5","MMG",392.2,416.2,"NAN","NAN",4
"Ca55Mg17.5Zn27.5","MMG",395.2,417.2,"NAN","NAN",4.5
"Ca47.5Mg19.1Zn6.8Cu26.6","MMG",397,438,682,"NAN","NAN"
"Ca50Mg22.5Cu27.5","MMG",400,442,663,"NAN",10
"Ca60Mg17.5Zn22.5","MMG",383,421,650,"NAN",10
"Ca47Mg19Zn7Cu27","MMG",393,440,676,"NAN",6
"Ca55Mg20Al19Zn6","MMG",448,484,745,"NAN",1.5
"Ca55Al20Mg18Zn7","MMG",447,491,822,"NAN",1
"Ca60Mg18Al15Zn7","MMG",431,485,748,"NAN",2.5
"Ca47.5Cu30Mg22.5","MMG",399,440,673,"NAN",10
"Ca47.5Mg22.5Cu30","MMG",399,440,673,"NAN",6
"Ca56.5Al28.5Mg15","MMG",503,528,"NAN","NAN",1.5
"Ca50Cu27.5Mg22.5","MMG",400,442,663,"NAN",10
"Ca60Zn22.5Mg17.5","MMG",378,428,650,"NAN",10
"Ca62.5Zn20Mg17.5","MMG",375,412,640,"NAN",10
"Ca47Cu27Mg19Zn7","MMG",393,440,676,"NAN",6
"Ca55Mg18Al20Zn7","MMG",447,491,822,"NAN","NAN"
"Ca60Cu20Al11Mg9","MMG",401,450,757,"NAN",2
"Ca50Cu25Mg20Zn5","MMG",399,441,654,"NAN",10
"Ca50Mg25Cu20Zn5","MMG",393,435,663,"NAN",8
"Ca50Mg15Zn10Cu25","MMG",395,434,678,"NAN",10
"Ca60Mg20Al10Zn10","MMG",403,449,746,"NAN",6
"Ca60Mg20Ag10Cu10","MMG",398,428,"NAN","NAN",7
"Ca50Mg25Zn15Cu10","MMG",383,430,723,"NAN",8
"Ca55Mg20Al15Zn10","MMG",421,477,806,"NAN",2
"Ca60Mg20Al10Cu10","MMG",408,442,817,"NAN",2
"Ca60Cu15Mg15Al10","MMG",397,430,810,"NAN",2
"Ca50Cu20Mg20Al10","MMG",411,441,731,"NAN",1
"Ca50Cu25Mg15Zn10","MMG",395,434,678,"NAN",10
